Year,Month,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions),Value Per Transaction
2015,April,129218,26.1392,84.9056,213.746,2.52
2015,March,128591,25.6902,90.3477,231.836,2.57
2015,February,127187,25.4556,80.7405,208.132,2.58
2015,January,125826,25.3972,81.6534,210.54,2.58
2014,December,123703,25.2492,85.6071,225.549,2.63
2014,November,121419,24.9465,80.9984,203.239,2.51
2014,October,128706,25.996,82.8925,210.277,2.54
2014,September,124179,26.2995,78.1748,206.341,2.64
2014,August,124708,26.333,78.8987,206.72,2.62
2014,July,122462,26.2265,77.4651,200.992,2.59
2014,June,120781,25.9284,74.0288,189.911,2.57
2014,May,117807,25.8152,74.5472,198.131,2.66
2014,April,116581,26.1399,72.0955,186.664,2.59
2014,March,116196,26.208,73.9817,192.695,2.60
2014,February,115015,26.1164,65.5934,172.797,2.63
2014,January,114107,25.7568,67.0519,178.478,2.66
2013,December,113130,25.3263,69.1378,182.495,2.64
2013,November,112947,24.9,68.7,175.22,2.55
2013,October,111697,24.43,68.27,175.29,2.57
2013,September,110432,23.97,63.43,165.59,2.61
2013,August,108559,23.87,64.71,168.1,2.60
2013,July,105669,24.27,62.71,162.76,2.60
2013,June,103165,23.75,60.03,152.5,2.54
2013,May,100584,23.47,60.34,158.77,2.63
2013,April,96319,23.0185,55.9993,142.609,2.55
2013,March,93211,22.3292,52.3949,134.446,2.57
2013,February,88393,21.8024,53.4683,141.126,2.64
2013,January,85548,21.4181,53.4068,142.653,2.67
2012,December,76912,21.06,55.96,150.16,2.68
2012,November,75226,20.25,53.56,138.99,2.60
2012,October,70972,20.02,51.89,137.68,2.65
2012,September,67301,19.71,48.94,130.69,2.67
2012,August,64439,19.38,49.7,131.38,2.64
2012,July,63165,19.58,49.35,129.28,2.62
2012,June,61313,19.7956,47.8763,124.02,2.59
2012,May,59057,19.6943,47.9655,128.403,2.68
2012,April,56717,19.53,44.35,117.36,2.65
2012,March,55726,19.2393,45.757,126.093,2.76
2012,February,53685,18.7921,41.7805,116.691,2.79
2012,January,52315,18.834,40.2449,114.06,2.83
2011,December,50471,19.191,41.7075,118.08,2.83
2011,November,49091,19.46,41.1769,112.332,2.73
2011,October,47874,19.2097,40.55,109.119,2.69
2011,September,46234,18.8916,39.2139,108.615,2.77
2011,August,44762,18.6128,39.2993,107.424,2.73
2011,July,43577,18.3082,37.9763,99.7104,2.63
2011,June,42840,18.1469,35.8222,92.6437,2.59
2011,May,38485,17.9239,35.3457,94.3724,2.67
2011,April,37309,17.7573,32.4254,86.0877,2.65
2011,March,36198,17.4653,32.7301,88.9966,2.72
2011,February,34572,16.8928,28.5462,76.3366,2.67
2011,January,33968,16.6901,28.2047,75.4328,2.67
2010,December,39449,16.4463,29.1183,75.8654,2.61
2010,November,38201,16.075,30.0386,70.2727,2.34
2010,October,37009,15.7346,31.3186,71.7947,2.29
2010,September,35373,15.2239,29.4457,68.5062,2.33
2010,August,33864,14.5893,26.8233,61.531,2.29
2010,July,32974,13.4701,26.915,61.7728,2.30
2010,June,31902,10.9147,25.0338,58.0993,2.32
2010,May,31036,10.4928,24.6984,58.0795,2.35
2010,April,29570,10.2026,22.6933,51.8136,2.28
2010,March,27622,9.97211,24.0758,56.1167,2.33
2010,February,25394,9.67495,20.8087,49.9055,2.40
2010,January,24850,9.4767,20.0767,48.4625,2.41
2009,December,23012,8.88258,21.6891,52.3417,2.41
2009,November,22476,8.61529,19.975,47.4656,2.38
2009,October,20631,8.36803,19.92,48.6365,2.44
2009,September,19803,8.01624,18.3703,45.3683,2.47
2009,August,18780,7.7141,17.0104,40.6787,2.39
2009,July,18504,7.42641,16.8986,40.3374,2.39
2009,June,16641,7.19062,15.9846,38.1756,2.39
2009,May,16029,6.8427,15.0488,36.8062,2.45
2009,April,14790,6.53192,13.7796,34.0201,2.47
2009,March,13358,6.28952,13.5541,33.8202,2.50
2009,February,7512,5.81602,11.0793,28.6863,2.59
2009,January,7304,5.47828,10.1906,27.0749,2.66
2008,December,6104,5.08247,10.2051,26.99,2.64
2008,November,5399,4.75139,8.56681,21.7,2.53
2008,October,4781,4.42028,8.30365,21.6007,2.60
2008,September,4230,4.14304,7.15191,19.2699,2.69
2008,August,3761,3.72618,6.34241,16.7563,2.64
2008,July,3378,3.36719,5.39108,14.0171,2.60
2008,June,3011,3.03852,4.20144,10.9172,2.60
2008,May,2770,2.71813,4.02127,10.9042,2.71
2008,April,2606,2.37346,3.07289,8.38964,2.73
2008,March,2329,2.07553,2.3975,6.74745,2.81
2008,February,2067,1.82153,1.7399,5.21979,3.00
2008,January,1812,1.5891,1.34683,4.05904,3.01
2007,December,1582,1.34527,1.2741,3.77027,2.96
2007,November,1379,1.1332,1.22174,3.51495,2.88
2007,October,1196,0.875962,0.958908,2.82955,2.95
2007,September,960,0.635761,0.669689,2.06969,3.09
2007,August,819,0.432555,0.516239,1.57991,3.06
2007,July,681,0.268499,0.354298,1.06537,3.01
2007,June,527,0.175652,0.233661,0.720102,3.08
2007,May,447,0.107733,0.15,0.483709,3.22
2007,April,362,0.054944,0.07,0.220896,3.16
2007,March,307,0.020992,0.021714,0.0643905,2.97
